id,ticker,candle_date,open,high,low,close,updated_at
123412,RVNL.NS,2026-06-19,246.5000,246.5000,243.5100,245.0000,2026-06-19 04:40:09.969+00
111106,RVNL.NS,2026-06-18,251.0200,251.3800,245.2900,247.5800,2026-06-19 04:40:09.969+00
71809,RVNL.NS,2026-06-17,242.2000,246.4800,240.0600,245.1400,2026-06-19 04:40:09.969+00
63508,RVNL.NS,2026-06-16,241.8000,243.5900,239.6500,241.1400,2026-06-19 04:40:09.969+00
17095,RVNL.NS,2026-06-15,242.0000,243.4000,239.0000,239.7000,2026-06-19 04:40:09.969+00
8897,RVNL.NS,2026-06-12,228.5000,234.0000,225.1000,233.2600,2026-06-19 04:40:09.969+00
8896,RVNL.NS,2026-06-11,226.9900,226.9900,221.5500,222.1900,2026-06-19 04:40:09.969+00
8895,RVNL.NS,2026-06-10,234.5000,235.6000,227.5600,228.1700,2026-06-19 04:40:09.969+00
8894,RVNL.NS,2026-06-09,232.0000,236.4000,231.2500,233.8900,2026-06-19 04:40:09.969+00
8893,RVNL.NS,2026-06-08,231.9900,233.8900,227.0100,228.2300,2026-06-19 04:40:09.969+00
8892,RVNL.NS,2026-06-05,237.0200,238.6100,233.8000,235.6100,2026-06-19 04:40:09.969+00
8891,RVNL.NS,2026-06-04,237.0000,240.6700,235.8500,236.4600,2026-06-19 04:40:09.969+00
8890,RVNL.NS,2026-06-03,241.4000,241.5200,233.0500,239.0200,2026-06-19 04:40:09.969+00
8889,RVNL.NS,2026-06-02,240.0000,241.7500,232.7300,240.7500,2026-06-19 04:40:09.969+00
8888,RVNL.NS,2026-06-01,248.1000,249.8100,240.8000,241.5600,2026-06-19 04:40:09.969+00
8887,RVNL.NS,2026-05-29,251.8000,255.2000,243.0000,245.4500,2026-06-19 04:40:09.969+00
8886,RVNL.NS,2026-05-28,252.3000,252.3000,252.3000,252.3000,2026-06-19 04:40:09.969+00
8885,RVNL.NS,2026-05-27,259.7500,259.7500,251.3000,252.3000,2026-06-19 04:40:09.969+00
8884,RVNL.NS,2026-05-26,263.9500,266.9000,259.0000,259.7500,2026-06-19 04:40:09.969+00
8883,RVNL.NS,2026-05-25,274.1500,275.8500,272.0000,272.4500,2026-06-19 04:40:09.969+00
8882,RVNL.NS,2026-05-22,271.5000,273.9500,267.7000,271.1000,2026-06-19 04:40:09.969+00
8881,RVNL.NS,2026-05-21,273.5000,275.0000,269.3500,270.7500,2026-06-19 04:40:09.969+00
8880,RVNL.NS,2026-05-20,270.1000,270.6500,264.5500,269.6000,2026-06-19 04:40:09.969+00
8879,RVNL.NS,2026-05-19,276.8500,278.3000,270.3500,271.5500,2026-06-19 04:40:09.969+00
8878,RVNL.NS,2026-05-18,280.0000,280.4500,271.1000,276.8000,2026-06-19 04:40:09.969+00
8877,RVNL.NS,2026-05-15,287.9000,288.5000,281.5000,283.0000,2026-06-19 04:40:09.969+00
8876,RVNL.NS,2026-05-14,287.1500,291.3500,281.1000,287.2000,2026-06-19 04:40:09.969+00
8875,RVNL.NS,2026-05-13,283.7000,291.3500,283.7000,285.0000,2026-06-19 04:40:09.969+00
8874,RVNL.NS,2026-05-12,294.0000,296.5500,282.3000,283.3000,2026-06-19 04:40:09.969+00
8873,RVNL.NS,2026-05-11,303.4500,303.4500,294.2500,295.4000,2026-06-19 04:40:09.969+00
8872,RVNL.NS,2026-05-08,308.4000,309.3500,303.5000,305.0000,2026-06-19 04:40:09.969+00
8871,RVNL.NS,2026-05-07,306.5000,310.0000,303.4000,308.7000,2026-06-19 04:40:09.969+00
8870,RVNL.NS,2026-05-06,303.0000,306.2000,299.3000,305.1000,2026-06-19 04:40:09.969+00
8869,RVNL.NS,2026-05-05,296.0000,304.6000,295.4500,300.4500,2026-06-19 04:40:09.969+00
8868,RVNL.NS,2026-05-04,299.4000,303.4000,292.6000,296.6500,2026-06-19 04:40:09.969+00
8867,RVNL.NS,2026-05-01,297.6500,297.6500,297.6500,297.6500,2026-06-19 04:40:09.969+00
8866,RVNL.NS,2026-04-30,300.2000,301.0000,294.0000,297.6500,2026-06-19 04:40:09.969+00
8865,RVNL.NS,2026-04-29,310.0100,311.4500,301.1000,302.3000,2026-06-19 04:40:09.969+00
8864,RVNL.NS,2026-04-28,306.0000,311.0000,305.2000,308.6300,2026-06-19 04:40:09.969+00
8863,RVNL.NS,2026-04-27,305.2500,310.2000,305.0100,305.9500,2026-06-19 04:40:09.969+00
8862,RVNL.NS,2026-04-24,308.6500,309.8800,301.0000,303.4400,2026-06-19 04:40:09.969+00
8861,RVNL.NS,2026-04-23,306.5000,311.3000,304.7900,307.2100,2026-06-19 04:40:09.969+00
8860,RVNL.NS,2026-04-22,297.1100,308.3300,297.0000,307.4100,2026-06-19 04:40:09.969+00
8859,RVNL.NS,2026-04-21,296.0000,300.9800,294.2600,298.8600,2026-06-19 04:40:09.969+00
8858,RVNL.NS,2026-04-20,304.5000,304.5000,295.0000,296.3300,2026-06-19 04:40:09.969+00
8857,RVNL.NS,2026-04-17,300.0000,311.8500,298.8500,303.0600,2026-06-19 04:40:09.969+00
