id,ticker,candle_date,open,high,low,close,updated_at
66912,COCHINSHIP.NS,2026-06-17,1432.8000,1494.8000,1432.1000,1472.0000,2026-06-17 08:48:44.717+00
58611,COCHINSHIP.NS,2026-06-16,1414.9000,1436.4000,1411.9000,1431.6000,2026-06-17 08:48:44.717+00
11796,COCHINSHIP.NS,2026-06-15,1450.0000,1462.0000,1405.5000,1411.8000,2026-06-17 08:48:44.717+00
4198,COCHINSHIP.NS,2026-06-12,1405.1000,1428.0000,1395.5000,1424.3000,2026-06-17 08:48:44.717+00
4197,COCHINSHIP.NS,2026-06-11,1400.0000,1400.0000,1368.1000,1387.8000,2026-06-17 08:48:44.717+00
4196,COCHINSHIP.NS,2026-06-10,1439.9000,1449.1000,1400.0000,1404.2000,2026-06-17 08:48:44.717+00
4195,COCHINSHIP.NS,2026-06-09,1410.0000,1446.1000,1407.2000,1441.2000,2026-06-17 08:48:44.717+00
4194,COCHINSHIP.NS,2026-06-08,1425.0000,1431.0000,1400.0000,1407.1000,2026-06-17 08:48:44.717+00
4193,COCHINSHIP.NS,2026-06-05,1474.2000,1482.8000,1432.2000,1439.1000,2026-06-17 08:48:44.717+00
4192,COCHINSHIP.NS,2026-06-04,1449.0000,1485.4000,1445.1000,1472.4000,2026-06-17 08:48:44.717+00
4191,COCHINSHIP.NS,2026-06-03,1467.7000,1469.6000,1430.8000,1455.7000,2026-06-17 08:48:44.717+00
4190,COCHINSHIP.NS,2026-06-02,1425.0000,1476.2000,1409.0000,1467.7000,2026-06-17 08:48:44.717+00
4189,COCHINSHIP.NS,2026-06-01,1470.0000,1485.0000,1424.1000,1429.4000,2026-06-17 08:48:44.717+00
4188,COCHINSHIP.NS,2026-05-29,1524.5000,1530.6000,1455.5000,1467.4000,2026-06-17 08:48:44.717+00
4187,COCHINSHIP.NS,2026-05-28,1523.9000,1523.9000,1523.9000,1523.9000,2026-06-17 08:48:44.717+00
4186,COCHINSHIP.NS,2026-05-27,1527.0000,1553.1000,1512.1000,1523.9000,2026-06-17 08:48:44.717+00
4185,COCHINSHIP.NS,2026-05-26,1524.9000,1556.0000,1510.0000,1526.2000,2026-06-17 08:48:44.717+00
4184,COCHINSHIP.NS,2026-05-25,1539.7000,1557.0000,1523.9000,1529.0000,2026-06-17 08:48:44.717+00
4183,COCHINSHIP.NS,2026-05-22,1535.0000,1548.2000,1526.5000,1532.1000,2026-06-17 08:48:44.717+00
4182,COCHINSHIP.NS,2026-05-21,1526.2000,1552.9000,1523.0000,1531.0000,2026-06-17 08:48:44.717+00
4181,COCHINSHIP.NS,2026-05-20,1486.1000,1514.0000,1463.1000,1507.8000,2026-06-17 08:48:44.717+00
4180,COCHINSHIP.NS,2026-05-19,1516.0000,1531.0000,1484.1000,1489.6000,2026-06-17 08:48:44.717+00
4179,COCHINSHIP.NS,2026-05-18,1549.0000,1549.0000,1475.0000,1513.5000,2026-06-17 08:48:44.717+00
4178,COCHINSHIP.NS,2026-05-15,1645.1000,1649.0000,1590.0000,1594.5000,2026-06-17 08:48:44.717+00
4177,COCHINSHIP.NS,2026-05-14,1662.9000,1671.9000,1600.1000,1645.2000,2026-06-17 08:48:44.717+00
